aa Afar
hy Armenisch
qu Quechua
ab Abchasisch
ia Interlingua
rm Rätoromanisch
af Afrikaans
id Indonesisch
rn Kirundisch
am Amharisch
ie Interlingue
ro Rumänisch
ar Arabisch
ik Inupiak
ru Russisch
as Assamesisch
is Isländisch
rw Kijarwanda
ay Aymara
it Italienisch
sa Sanskrit
az Aserbaidschanisch
iu Inuktitut
sd Zinti
ba Baschkirisch
ja Japanisch
sg Sango
be Belorussisch
jw Javanisch
sh Serbokroatisch
bg Bulgarisch
ka Georgisch
si Singhalesisch
bh Biharisch
kk Kasachisch
sk Slowakisch
bi Bislamisch
kl Kalaallisut (Grönländisch
sl Slowenisch
bn Bengalisch
km Kambodschanisch
sm Samoanisch
bo Tibetanisch
kn Kannada
sn Schonisch
br Bretonisch
ko Koreanisch
so Somalisch
ca Katalanisch
ks Kaschmirisch
sq Albanisch
co Korsisch
ku Kurdisch
sr Serbisch
cs Tschechisch
kw Kornisch
ss Swasiländisch
cy Walisisch
ky Kirgisisch
st Sesothisch
da Dänisch
la Lateinisch
su Sudanesisch
de Deutsch
lb Luxemburgisch
sv Schwedisch
dz Dzongkha; Bhutani
ln Lingala sw Suaheli
el Griechisch
lo Laotisch
ta Tamilisch
en Englisch
lt Litauisch
te Telugu
eo Esperanto
lv Lettisch
tg Tadschikisch
es Spanisch
mg Malagasisch
th Thai
et Estnisch
mi Maorisch
ti Tigrinja
eu Baskisch
mk Mazedonisch
tk Turkmenisch
fa Persisch
ml Malajalam
tl Tagalog
fi Finnisch
mn Mongolisch
tn Sezuan
fj Fiji
mo Moldavisch
to Tongaisch
fo Faröisch
mr Marathi
tr Türkisch
fr Französisch
ms Malaysisch
ts Tsongaisch
fy Friesisch
mt Maltesisch
tt Tatarisch
ga Irisch
my Burmesisch
tw Twi
gd Schottisches Gälisch
na Nauruisch
uk Ukrainisch
gl Galizisch
ne Nepalisch
ur Urdu
gn Guarani
nl Holländisch
uz Usbekisch
gu Gujaratisch
no Norwegisch
vi Vietnamesisch
gv Gälisch der Ile of Man
oc Okzitanisch
vo Volapük
ha Haussa
om Oromo
wo Wolof
he Hebräisch
or Orija
xh Xhosa
hi Hindi
pa Pundjabisch
yi Jiddish
hr Kroatisch
pl Polnisch
yo Joruba
hu Ungarisch
ps Paschtu
za Zhuang
hy Armenisch
pt Portugiesisch
zh Chinesisch
ia Interlingua
qu Quechua
zu Zulu

